🎵 HM#1: Cost=1008453.6, Distance=NaN, Duplicate=557
🎵 HM#2: Cost=1008755.54, Distance=NaN, Duplicate=538
🎵 HM#3: Cost=976776.57, Distance=NaN, Duplicate=495
🎵 HM#4: Cost=989107.46, Distance=NaN, Duplicate=532
🎵 HM#5: Cost=972676.9, Distance=NaN, Duplicate=570
🎵 HM#6: Cost=1008528.81, Distance=NaN, Duplicate=503
🎵 HM#7: Cost=979174.3, Distance=NaN, Duplicate=512
🎵 HM#8: Cost=984842.39, Distance=NaN, Duplicate=552
🎵 HM#9: Cost=986639.02, Distance=NaN, Duplicate=556
🎵 HM#10: Cost=1002887.71, Distance=NaN, Duplicate=530
🎵 HM#11: Cost=1007077.99, Distance=NaN, Duplicate=530
🎵 HM#12: Cost=976108.2, Distance=NaN, Duplicate=534
🎵 HM#13: Cost=997500.43, Distance=NaN, Duplicate=532
🎵 HM#14: Cost=1003298.34, Distance=NaN, Duplicate=560
🎵 HM#15: Cost=996209.99, Distance=NaN, Duplicate=574
🎵 HM#16: Cost=983436.07, Distance=NaN, Duplicate=514
🎵 HM#17: Cost=1005651.52, Distance=NaN, Duplicate=521
🎵 HM#18: Cost=1004341.67, Distance=NaN, Duplicate=561
🎵 HM#19: Cost=994496.66, Distance=NaN, Duplicate=518
🎵 HM#20: Cost=1004128.62, Distance=NaN, Duplicate=545
🎵 HM#21: Cost=1003332.98, Distance=NaN, Duplicate=531
🎵 HM#22: Cost=1004938.63, Distance=NaN, Duplicate=515
🎵 HM#23: Cost=985950.15, Distance=NaN, Duplicate=543
🎵 HM#24: Cost=976841.29, Distance=NaN, Duplicate=515
🎵 HM#25: Cost=1006600.09, Distance=NaN, Duplicate=539
🎵 HM#26: Cost=1003407.59, Distance=NaN, Duplicate=573
🎵 HM#27: Cost=979019.32, Distance=NaN, Duplicate=536
🎵 HM#28: Cost=1006422.88, Distance=NaN, Duplicate=530
🎵 HM#29: Cost=1001816.18, Distance=NaN, Duplicate=539
🎵 HM#30: Cost=1003641.07, Distance=NaN, Duplicate=538
🎵 HM#31: Cost=1001326.1, Distance=NaN, Duplicate=531
🎵 HM#32: Cost=1005234.28, Distance=NaN, Duplicate=522
🎵 HM#33: Cost=1005869.04, Distance=NaN, Duplicate=524
🎵 HM#34: Cost=983116.54, Distance=NaN, Duplicate=541
🎵 HM#35: Cost=975193.29, Distance=NaN, Duplicate=512
🎵 HM#36: Cost=1001696.78, Distance=NaN, Duplicate=543
🎵 HM#37: Cost=977595.94, Distance=NaN, Duplicate=536
🎵 HM#38: Cost=1006596.25, Distance=NaN, Duplicate=535
🎵 HM#39: Cost=1010297.22, Distance=NaN, Duplicate=589
🎵 HM#40: Cost=1002419.05, Distance=NaN, Duplicate=489
🎵 HM#41: Cost=1001624.28, Distance=NaN, Duplicate=544
🎵 HM#42: Cost=1009196.55, Distance=NaN, Duplicate=566
🎵 HM#43: Cost=1011808.53, Distance=NaN, Duplicate=525
🎵 HM#44: Cost=981385.24, Distance=NaN, Duplicate=522
🎵 HM#45: Cost=1011043.13, Distance=NaN, Duplicate=529
🎵 HM#46: Cost=1005491.44, Distance=NaN, Duplicate=555
🎵 HM#47: Cost=1002602.28, Distance=NaN, Duplicate=543
🎵 HM#48: Cost=971945, Distance=NaN, Duplicate=517
🎵 HM#49: Cost=996251.02, Distance=NaN, Duplicate=557
🎵 HM#50: Cost=997812.97, Distance=NaN, Duplicate=508
🎵 HM#51: Cost=1006573.55, Distance=NaN, Duplicate=515
🎵 HM#52: Cost=1005108.25, Distance=NaN, Duplicate=537
🎵 HM#53: Cost=990130.53, Distance=NaN, Duplicate=514
🎵 HM#54: Cost=999645.28, Distance=NaN, Duplicate=506
🎵 HM#55: Cost=996807.81, Distance=NaN, Duplicate=529
🎵 HM#56: Cost=988126.8, Distance=NaN, Duplicate=536
🎵 HM#57: Cost=980187.77, Distance=NaN, Duplicate=534
🎵 HM#58: Cost=1008320.59, Distance=NaN, Duplicate=530
🎵 HM#59: Cost=1010987.9, Distance=NaN, Duplicate=567
🎵 HM#60: Cost=981653.74, Distance=NaN, Duplicate=512
